title,artist,album,track,duration,id,idtype,playcount,rating,year,genre,notes,playlist
﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:1RUpe8phIE0fjdNIKzOy4V,Ni Hoy Ni Manana,Gerardo Ortiz,Ni Hoy Ni Manana,1,2,209186,spotify:user:hugochaveze,2015-05-31T16:08:15Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:3uimmSCosNnO7i7uDwLSaH,Asociacion Antrax,La Edición de Culiacán,La Cheyenne Sin Placas,1,14,212192,spotify:user:hugochaveze,2015-05-24T17:08:10Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:02yDkjZcms3h9oPDPKhtYZ,Dámaso,Gerardo Ortiz,El Primer Ministro (Deluxe Edition),1,2,159026,spotify:user:maggielosegui,2014-12-03T03:29:33Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:2FmQWgxcHefsoyw4ob0yq3,Quién Se Anima,Gerardo Ortiz,Archivos de Mi Vida,1,2,97000,spotify:user:maggielosegui,2014-12-03T03:29:39Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:24S2rcxfPv2hWwILSBMF3x,El Muletas (En Vivo),Gerardo Ortiz,Morir y Existir En Vivo,1,8,169373,spotify:user:maggielosegui,2014-12-03T03:29:58Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:3jjySlPUK71LIWEZ9kfxi5,Chavo Felix (En Vivo),Gerardo Ortiz,Morir y Existir En Vivo,1,10,189920,spotify:user:maggielosegui,2014-12-03T03:30:05Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:3t8SxAtPucuWFMUitFlJSw,Morir Con Estilo (En Vivo),Gerardo Ortiz,Morir y Existir En Vivo,1,11,235973,spotify:user:maggielosegui,2014-12-03T03:30:25Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:6IKFN2maYduHlYijUa1RJ3,El Primer Ministro,Gerardo Ortiz,El Primer Ministro (Deluxe Edition),1,1,112720,spotify:user:maggielosegui,2014-12-03T03:31:45Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:3k5BGMFe37RXvv0NOrfQhB,Soy De Durango,Gerardo Ortiz,El Primer Ministro (Deluxe Edition),1,15,159133,spotify:user:maggielosegui,2014-12-03T03:31:57Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:4VZ0UOLwnTnQSLZJme5lyQ,Qué Tiene De Malo,"Calibre 50, El Komander",Contigo,1,11,168653,spotify:user:maggielosegui,2014-12-03T03:32:54Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:7kyK2NSDfRE1612vdYuqIx,Javier El De Los Llanos,Calibre 50,Corridos De Alto Calibre,1,4,201600,spotify:user:maggielosegui,2014-12-03T03:33:11Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:2UyyNcLL7gRuzEjIMCq7np,Se Quedaron A Tres Pasos,Calibre 50,Corridos De Alto Calibre,1,7,199786,spotify:user:maggielosegui,2014-12-03T03:33:38Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:52RIwrVO4z30hkTsSWOYyL,La Buena y la Mala,Banda Tierra Sagrada,"De Lo Bueno, Lo Mejor",1,1,204453,spotify:user:maggielosegui,2014-12-06T17:19:41Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:3j1WurYpvW7IgHCATbiDdQ,El De Los Lentes Carrera (Bonus Track),Revolver Cannabis,"Balas, Rosas Y Plomo",1,13,223560,spotify:user:maggielosegui,2014-12-06T17:22:12Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:51Euf73PWy96aLpmy2Exdh,Noche De Poker,Revolver Cannabis,"Balas, Rosas Y Plomo",1,6,156506,spotify:user:maggielosegui,2014-12-06T17:22:22Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:7qtWTzEvbccUqO2NQyDjnL,El Sicario De Dios (El Sicario Y Ramón),Revolver Cannabis,Seremos Eternos... Pero Por Ahora Somos Los Que Estamos,1,6,264360,spotify:user:maggielosegui,2014-12-06T17:29:26Z,undefined,undefined,undefined,Fri Sep 15 2017
